O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
681,625,1306,15,125,1,3,1,14,3645.090088,2.7499499,41.3588982,1868.640015,1870.869995,88.0121994,25598.40039,2094.419922,84.9123001,6235.572265,124.0527686,2641.176984,52.54454656,68,384,Moderately served,0
3952,4000,7952,15,81,12,7,2,8,5697.830078,41.6282997,30.6303005,2054.530029,1986.01001,76.1465988,34728.10156,2792.949951,83.7485962,5976.068156,118.8900984,2171.865938,43.20789997,41,308,Moderately served,0
3604,3929,7533,15,182,6,4,1,6,4283.229981,42.446701,30.6357002,1552.400024,1561.099976,68.8114014,47094.80078,2285.600098,87.6537018,8397.541375,167.0637775,1907.476099,37.94803125,32,229,Moderately served,0
7393,7562,14955,15,100,1,3,1,6,5140,78.2623978,30.3924999,2483.189941,2357.909912,73.2997971,97706,3910.399902,93.8955994,7090.96359,141.0702383,2510.666331,49.94811963,55,484,Moderately served,0
7052,6870,13922,11,87,2,4,0,8,4495.660156,78.2694016,30.6490993,2199.330078,2183.620117,74.4509964,89937.39844,3441.73999,95.5784988,6624.775974,131.7957304,553.172407,11.00501537,182,367,Moderately served,0
6228,6473,12701,15,321,3,3,1,9,4305.509766,39.3334007,28.5263996,1902.670044,1768.51001,83.7067032,42587.69922,2357.389893,90.4770966,11019.36956,219.223392,3980.415148,79.18784329,44,268,Moderately served,0
14235,13838,28073,19,407,9,12,11,24,2822.040039,55.7686996,28.9668007,1396.900024,1607.109985,95.8192978,81371.10156,2195.229981,93.7340012,9270.969802,184.4400839,7087.967775,141.0106385,225,845,Moderately served,0
6065,6149,12214,19,183,1,1,1,7,5461.410156,49.9570007,30.4552994,2577.179932,2527.030029,83.5650024,38747.5,2742.580078,93.7324982,8343.05161,165.979738,3359.619019,66.83749671,37,323,Moderately served,0
2507,2755,5262,15,45,3,7,1,12,10338.09961,42.4786987,40.9001999,4602.479981,4383.459961,84.8796997,28991.5,4768.660156,87.183403,5147.297259,102.4022253,939.9324149,18.69936125,44,471,Moderately served,0
6732,6389,13121,15,258,1,5,1,9,3751.360107,54.1287003,27.8684998,1799.670044,1566.599976,79.1041031,41058.80078,2213.879883,92.813797,8344.679971,166.0121332,2722.068624,54.15383462,65,181,Moderately served,0
